iter	RMSE
0	0.4899178081
1	0.4832459462
2	0.4763076389
3	0.4696462194
4	0.4615655762
5	0.4565112893
6	0.4502488451
7	0.4448617036
8	0.4384792256
9	0.4331981916
10	0.4280049027
11	0.4214407156
12	0.414780521
13	0.4089163499
14	0.4055617595
15	0.4012296864
16	0.3951146095
17	0.3909757283
18	0.3844426066
19	0.3797824654
20	0.3742637656
21	0.3711042086
22	0.3673253297
23	0.3637484227
24	0.3580822576
25	0.3530889108
26	0.3484658238
27	0.3463337271
28	0.3427854742
29	0.3395507542
30	0.3365126329
31	0.3334107608
32	0.3307077583
33	0.3266182998
34	0.3237687017
35	0.3211172074
36	0.3160062469
37	0.3131058108
38	0.3093839397
39	0.3044972696
40	0.3026253869
41	0.2988518321
42	0.2942706106
43	0.2907993677
44	0.2889800095
45	0.2863182961
46	0.2838757499
47	0.2805207148
48	0.2778230714
49	0.2752478529
50	0.2724724091
51	0.2701916271
52	0.268326028
53	0.2636300523
54	0.2610278533
55	0.2583145563
56	0.2557588564
57	0.2521105496
58	0.2486131748
59	0.2457773071
60	0.2436352843
61	0.2422173983
62	0.2396295685
63	0.2377800706
64	0.2363516985
65	0.2351607715
66	0.2318749751
67	0.2307295568
68	0.2281540435
69	0.2263948541
70	0.224841067
71	0.2223447181
72	0.2202309814
73	0.2180902919
74	0.2159967019
75	0.2141593515
76	0.2119217804
77	0.2098504474
78	0.208464465
79	0.2068257777
80	0.2052855551
81	0.2032118313
82	0.2016373034
83	0.1996424217
84	0.1976471466
85	0.1956768862
86	0.1944972527
87	0.1932715845
88	0.1912957221
89	0.189416175
90	0.1876895714
91	0.1855412582
92	0.1848346759
93	0.1829708756
94	0.1811178123
95	0.1795230966
96	0.1778824203
97	0.177092945
98	0.1755158478
99	0.173990852
