iter	Passed	Remaining
0	66	6626
1	152	7453
2	199	6449
3	231	5553
4	277	5272
5	312	4892
6	347	4612
7	380	4378
8	415	4202
9	449	4044
10	485	3927
11	517	3798
12	551	3690
13	587	3610
14	643	3646
15	692	3635
16	728	3557
17	762	3474
18	795	3392
19	843	3372
20	883	3323
21	917	3253
22	950	3183
23	985	3121
24	1017	3053
25	1049	2988
26	1081	2924
27	1115	2867
28	1148	2812
29	1183	2761
30	1216	2707
31	1251	2660
32	1286	2611
33	1318	2559
34	1351	2510
35	1385	2463
36	1419	2416
37	1451	2367
38	1488	2328
39	1523	2284
40	1556	2239
41	1590	2196
42	1622	2150
43	1655	2106
44	1687	2062
45	1718	2016
46	1750	1974
47	1783	1932
48	1816	1890
49	1851	1851
50	1884	1810
51	1919	1771
52	1953	1732
53	1987	1693
54	2020	1653
55	2053	1613
56	2086	1574
57	2119	1534
58	2152	1495
59	2185	1457
60	2218	1418
61	2257	1383
62	2290	1345
63	2324	1307
64	2359	1270
65	2396	1234
66	2429	1196
67	2461	1158
68	2494	1120
69	2526	1082
70	2559	1045
71	2591	1007
72	2625	971
73	2658	934
74	2690	896
75	2723	860
76	2758	823
77	2794	788
78	2830	752
79	2864	716
80	2903	681
81	2935	644
82	2970	608
83	3008	572
84	3048	537
85	3082	501
86	3116	465
87	3150	429
88	3184	393
89	3216	357
90	3248	321
91	3291	286
92	3327	250
93	3362	214
94	3396	178
95	3431	142
96	3433	106
97	3435	70
98	3467	35
99	3499	0
